featurenames,weight
odor,0.16302051016964694
gill_size,0.1250338969012323
gill_color,0.11367327623962786
stalk_surface-above-ring,0.0988030535841706
gill_spacing,0.09457887629306122
ring_type,0.07577526162716444
spore_print-color,0.06934660554832149
population,0.049616667897985536
bruises,0.045582789800179165
habitat,0.0366961196440279
stalk_surface-below-ring,0.02981850595189046
cap_surface,0.01771472818263612
stalk_shape,0.017362780292390252
stalk_color-below-ring,0.015222648511743764
ring_number,0.014050220673809158
cap_color,0.013183653839891873
stalk_color-above-ring,0.01184317854476846
cap_shape,0.007114939081748199
veil_color,0.0015622872157042415
veil_type,0.0
gill_attachment,0.0
